,Rank,Cocoa Percentage
252,3.5,70%
253,3.75,70%
254,3.75,68%
255,3.75,70%
256,4,70%
257,3,72%
258,3.25,70%
259,3.5,75%
260,3.5,85%
261,3,60%
262,3.25,80%
263,3.5,70%
264,2.75,80%
265,3.25,80%
266,3.25,60%
267,3,70%
268,3,72%
269,3.5,70%
270,3.5,72%
271,2.75,68%
272,3.25,70%
273,2.75,68%
274,3.25,72%
275,3.5,72%
276,3.25,72%
277,3.25,72%
278,2.5,60%
279,2.5,70%
280,2.5,75%
281,2.5,75%
282,2.75,75%
283,2.25,75%
284,3.5,65%
285,3,70%
286,2,75%
287,2,72%
288,3,66%
289,3.5,77%
290,3.25,75%
291,2.5,75%
292,3.25,74%
293,3.5,75%
294,3.75,70%
295,3.25,74%
296,3.75,71%
297,3.75,74%
298,3.75,72%
299,3.5,64%
300,3.5,70%
301,2.75,69%
302,3.25,70%
303,3.5,70%
304,3.75,72%
305,3,72%
306,3.75,66%
307,3.25,65%
308,3.5,70%
309,3.5,71%
310,3.75,71%
311,4,71%
312,3.25,71%
313,3.5,71%
314,3.5,77%
315,4,70%
316,4,70%
317,3,70%
318,3.25,70%
319,3.5,70%
320,3.25,70%
321,3.5,63%
322,3.5,71%
323,2.5,82%
324,1.5,91%
325,2.75,60%
326,1,70%
327,2.5,75%
328,3,72%
329,3.5,70%
330,3.5,100%
331,3,80%
332,2.25,78%
333,2.5,70%
334,2.5,75%
335,2.75,73%
336,3,70%
337,3,75%
338,3.25,70%
339,2,77%
340,2.5,77%
341,2.75,77%
342,3,55%
343,3.25,55%
344,3.5,55%
345,3.5,70%
346,3.75,70%
347,3.5,72%
348,3.25,72%
349,3.5,72%
350,3,72%
351,2.75,80%
352,3,65%
353,3.25,65%
354,3.25,65%
355,3.5,65%
356,3.5,65%
357,4,72%
358,3.5,72%
359,3.75,70%
360,3.5,72%
361,3.5,72%
362,3.5,76%
363,2.75,70%
364,3,70%
365,3.5,73%
366,2.5,70%
367,3.25,70%
368,3.25,72%
369,2.75,70%
370,3,72%
371,2.5,70%
372,2.75,70%
373,2.75,70%
374,3,70%
375,2.75,72%
376,2.75,70%
377,3.25,70%
378,2.75,55%
379,3,75%
380,3.5,70%
381,3.5,70%
382,3.25,70%
383,3,75%
384,3.25,82%
385,2.75,70%
386,3.5,70%
387,2.5,65%
388,2.75,65%
389,2.5,80%
390,3.75,70%
391,3.75,68%
392,2.5,90%
393,2.5,80%
394,2.5,70%
395,2.75,70%
396,3,60%
397,3,75%
398,3,80%
399,3.25,70%
400,2.75,80%
401,2.75,74%
402,3.25,75%
403,3.5,68%
404,3.75,80%
405,3.75,69%
406,3.75,80%
407,3.75,70%
408,2.5,82%
409,2.75,68%
410,3.25,72%
411,2.5,70%
412,3,77%
413,3.25,65%
414,3.25,71%
415,3.5,71%
416,3.25,60%
417,3.25,75%
418,3.5,71%
419,2.5,71%
420,2.5,71%
421,3,70%
422,2.5,65%
423,2.5,75%
424,2.5,80%
425,2.75,70%
426,3,70%
427,3,80%
428,3,70%
429,2.75,42%
430,3.25,75%
431,3.75,68%
432,3,61%
433,2.75,77%
434,3.75,73.5%
435,3,80%
436,4,75%
437,1,100%
438,3.5,73%
439,3,75%
440,3.25,70%
441,2.75,80%
442,3.25,72%
443,3.75,70%
444,2.75,88%
445,3.5,76%
446,2.75,78%
447,3.25,65%
448,3.5,85%
449,1.5,100%
450,3.75,72%
451,3.5,70%
452,3.25,72%
453,3,70%
454,2.5,72%
455,3,72%
456,3.25,72%
457,3.25,72%
458,3,72%
459,3.25,62%
460,3.5,70%
461,3.75,70%
462,3,72%
463,3,72%
464,3,72%
465,1,70%
466,2.5,70%
467,2.75,83%
468,3.25,75%
469,3.25,65%
470,3.25,67%
471,3.25,64%
472,3.5,75%
473,3.25,85%
474,3.75,73%
475,2.75,70%
476,3.25,70%
477,2.75,72%
478,3,70%
479,3.5,70%
480,2.25,70%
481,2.75,70%
482,3.75,70%
483,3,70%
484,3.5,70%
485,3.5,70%
486,2.75,70%
487,3.75,70%
488,2.75,70%
489,3.25,70%
490,3.5,70%
491,3.5,70%
492,3,70%
493,3.25,70%
494,3.75,70%
495,3.25,70%
496,3.25,70%
497,3.25,70%
498,3.25,82%
499,3,75%
500,3.75,70%
501,3.75,70%
502,4,70%
503,3.25,70%
504,3.5,60%
505,3,75%
506,3.25,60%
507,2.75,72%
508,3,72%
509,3.25,70%
510,3.25,75%
511,3,70%
512,3.25,70%
513,3,70%
514,3.25,70%
515,2.5,70%
516,2.75,70%
517,2.75,70%
518,3.25,58%
519,3.5,72%
520,3.5,65%
521,2.5,70%
522,3,70%
523,2.5,66%
524,3,64%
525,3,71%
526,3,60%
527,3,64%
528,3,64%
529,3,64%
530,3.75,66%
531,2.5,72%
532,2.75,80%
533,3.5,77%
534,3.5,77%
535,3.75,70%
536,3.5,78%
537,3.75,70%
538,3.5,74%
539,3.25,70%
540,3.5,76%
541,2.75,75%
542,2.75,72%
543,2.75,80%
544,3,72%
545,2.75,75%
546,3,74%
547,3.25,70%
548,3,85%
549,3.25,72%
550,3.25,72%
551,3.5,72%
552,3.75,70%
553,3,88%
554,1.5,70%
555,3.75,70%
556,3.75,70%
557,3,100%
558,3.5,70%
559,3.75,70%
560,3.5,70%
561,3,70%
562,3,70%
563,3,70%
564,3.5,78%
565,3.75,70%
566,4,70%
567,3.25,75%
568,3.25,60%
569,3.5,70%
570,3.5,70%
571,3.75,70%
572,4,70%
573,4,70%
574,3,70%
575,3.25,70%
576,3.5,70%
577,2.75,75%
578,2.5,70%
579,2.75,80%
580,2.75,77%
581,4,70%
582,3.5,70%
583,3.75,76%
584,3.75,72%
585,3.75,72%
586,3.5,65%
587,3,72%
588,3.25,71%
589,3.5,71%
590,3.5,70%
591,3.75,72%
592,2.5,70%
593,3.75,70%
594,3.25,70%
595,2.75,82%
596,3.5,70%
597,3.5,70%
598,3.25,70%
599,3.25,70%
600,4,70%
601,3.25,70%
602,3.5,70%
603,3.75,70%
604,3.25,70%
605,3.25,70%
606,2.75,72%
607,3,68%
608,3.75,75%
609,2.75,71%
610,3.75,70%
611,2.75,60.5%
612,3,70%
613,2.5,74%
614,2.5,58%
615,3,61%
616,2.75,70%
617,2.75,60%
618,3.25,70%
619,3,79%
620,3.5,78%
621,3.25,75%
622,3.25,80%
623,3.25,70%
624,3,80%
625,3.25,74%
626,2.75,70%
627,2,65%
628,3.5,81%
629,2.75,74%
630,3,72%
631,2.5,55%
632,2.5,55%
633,2.5,70%
634,2.75,62%
635,2.5,62%
636,3,80%
637,3.5,80%
638,3.75,80%
639,2.75,75%
640,3,76%
641,2.5,76%
642,2.75,76%
643,3.5,58%
644,2,62%
645,3,74%
646,3,64%
647,3,65%
648,3.5,72%
649,4,68%
650,2.25,65%
651,3,80%
652,3.25,70%
653,2.5,85%
654,2.75,72%
655,2.75,70%
656,2.75,80%
657,2.75,70%
658,3.5,75%
659,3.75,67%
660,3.5,70%
661,3.75,70%
662,3.75,70%
663,3.5,60%
664,3.5,70%
665,3.5,75%
666,3,80%
667,3.5,60%
668,3.5,65%
669,3.5,70%
670,3.5,73%
671,3,80%
672,3.25,68%
673,3.5,66%
674,2.5,70%
675,3.5,61%
676,2,81%
677,3.5,70%
678,3.5,65%
679,3,70%
680,3.5,70%
681,3.5,70%
682,3.5,70%
683,3.25,72%
684,3.75,72%
685,3.75,70%
686,4,70%
687,3.5,69%
688,3.5,69%
689,4,74%
690,4,69%
691,3,69%
692,2.75,74%
693,3.25,70%
694,3.5,72%
695,3.5,70%
696,2.75,74%
697,3.25,72%
698,3,74%
699,3.25,76%
700,4,70%
701,2.75,80%
702,3,70%
703,3.25,70%
704,3.5,65%
705,3.5,70%
706,3,60%
707,3.25,85%
708,3.5,70%
709,3.25,70%
710,3.5,70%
711,3.25,70%
712,3.25,70%
713,3.25,70%
714,3.75,70%
715,3.25,70%
716,3.5,70%
717,3.5,70%
718,3.75,74%
719,4,74%
720,3.75,70%
721,3,76%
722,3.75,70%
723,3,75%
724,2.5,70%
725,3.25,66%
726,3,70%
727,2.5,85%
728,3.25,65%
729,4,70%
730,3.5,70%
731,3.5,80%
732,3.5,75%
733,3.5,70%
734,3,66%
735,2.75,77%
736,3.25,77%
737,3.25,77%
738,3,72%
739,2.5,70%
740,3.5,70%
741,3.25,82%
742,2.75,60%
743,2.5,71%
744,3,64%
745,3,64%
746,3,64%
747,3,76%
748,3.25,64%
749,3.75,70%
750,2.75,65%
751,2.75,65%
752,3.25,65%
753,3.5,65%
754,2.75,72%
755,3.25,61%
756,3.25,72%
757,3,65%
758,3,55%
759,3,91%
760,3.5,70%
761,3,65%
762,3,64%
763,3.5,65%
764,3.5,72%
765,3,65%
766,2.5,65%
767,3.5,65%
768,3.5,65%
769,3.5,61%
770,3,61%
771,2.75,80%
772,2.75,74%
773,3.25,75%
774,3.5,70%
775,2.75,65%
776,3,70%
777,3,80%
778,3.25,66%
779,2,100%
780,2.5,77%
781,2.75,55%
782,3,70%
783,3,70%
784,3.25,85%
785,3,67%
786,3.5,77%
787,3.5,74%
788,2.75,64%
789,3.25,70%
790,3.5,74%
791,3.5,67%
792,3,67%
793,3.75,67%
794,3.75,67%
795,3.5,72%
796,3.5,70%
797,3.5,77%
798,3.75,68%
799,4,72%
800,2.75,57%
801,3.5,74%
802,2.75,70%
803,3,74%
804,3,70%
805,3.25,73%
806,3.25,70%
807,2.75,70%
808,2.75,72%
809,3.25,75%
810,3.5,66%
811,2,80%
812,2.5,80%
813,3,72%
814,3.25,58%
815,3.5,58%
816,2.75,70%
817,3.5,70%
818,3.5,70%
819,3.5,70%
820,3.5,70%
821,2.5,70%
822,2.75,70%
823,3.5,70%
824,3.75,75%
825,2.5,72%
826,2.75,70%
827,4,70%
828,1.75,100%
829,3,75%
830,3.5,80%
831,3,90%
832,3,72%
833,3.5,82%
834,2.75,100%
835,2.5,100%
836,2.75,100%
837,3.5,66%
838,3,80%
839,3,65%
840,3.25,65%
841,2.75,70%
842,3,70%
843,2.75,70%
844,3,72%
845,2.5,80%
846,2.75,75%
847,3,72%
848,3.5,70%
849,3,70%
850,3,70%
851,3,70%
852,3.75,70%
853,3.5,70%
854,3.25,70%
855,3.75,70%
856,3.75,72%
857,3.75,72%
858,3.75,72%
859,3.25,72%
860,3.75,72%
861,4,74%
862,3.5,72%
863,4,70%
864,4,72%
865,4,72%
866,2.5,61%
867,3.25,70%
868,2.75,70%
869,3,77%
870,2.75,72%
871,3,72%
872,3.5,72%
873,2.25,72%
874,3.25,72%
875,3.25,72%
876,3.5,70%
877,2.75,70%
878,2,71%
879,2.75,63%
880,3.5,70%
881,3.5,70%
882,4,70%
883,3.5,70%
884,3,82%
885,3.25,55%
886,3.25,62%
887,2.5,64%
888,3.75,65%
889,3,70%
890,3.5,70%
891,2.75,75%
892,2.5,85%
893,2.75,85%
894,3,85%
895,2.5,75%
896,3,85%
897,2.75,70%
898,2.75,80%
899,3.75,70%
900,2,72%
901,3,60%
902,2.5,72%
903,2.75,72%
904,3,72%
905,3.25,72%
906,3.25,90%
907,3.25,72%
908,3.25,72%
909,3.25,70%
910,2.75,70%
911,3.75,70%
912,3.75,70%
913,2.5,72.5%
914,3,72.5%
915,2.5,72.5%
916,3,72.5%
917,3.25,74%
918,4,70%
919,3.75,68%
920,3.75,74%
921,3.25,75%
922,3.75,74%
923,3,71%
924,3.5,64%
925,3,68%
926,2.25,70%
927,2.5,70%
928,3,70%
929,3,70%
930,2.75,74%
931,3.25,60%
932,3.25,56%
933,3.5,66%
934,3.5,68%
935,3.25,68%
936,3.5,69%
937,3,60%
938,3.75,60%
939,3.5,74%
940,2.5,72%
941,3.25,60%
942,2.75,75%
943,2.75,75%
944,3,75%
945,3.25,75%
946,3,75%
947,3.5,75%
948,3.25,75%
949,3.75,75%
950,2.75,70%
951,2.75,68%
952,3.5,70%
953,2.5,75%
954,3.5,80%
955,3,75%
956,3,75%
957,3,72%
958,3.5,70%
959,3.25,70%
960,3.25,70%
961,3.25,70%
962,3.5,70%
963,3,70%
964,3.25,70%
965,3.5,70%
966,3.5,70%
967,3.5,71%
968,3,70%
969,3.5,65%
970,3.5,68%
971,3.75,68%
972,2.75,75%
973,3,74%
974,3.5,68%
975,3,85%
976,2.5,65%
977,3.75,70%
978,3.25,65%
979,3.75,75%
980,3,71%
981,3,72%
982,3.5,70%
983,2,75%
984,2.75,46%
985,3,60%
986,3,58%
987,3.5,65%
988,1.5,70%
989,2.25,55%
990,3.5,67%
991,3.75,70%
992,4,63%
993,3.5,75%
994,3.5,73%
995,2.75,70%
996,3.5,70%
997,2.75,70%
998,2.75,70%
999,3.25,70%
1000,3.25,70%
1001,3.5,70%
1002,2.5,70%
1003,2.75,70%
1004,2.75,72%
1005,2,75%
1006,3,70%
1007,3.25,70%
1008,3.75,70%
1009,2,70%
1010,2.75,75%
1011,3.5,73%
1012,3.5,65%
1013,3.5,55%
1014,2.75,55%
1015,3,70%
1016,2.5,74%
1017,2.5,74%
1018,2.75,74%
1019,3.75,74%
1020,2.75,70%
1021,3.5,72%
1022,3.75,72%
1023,3.75,72%
1024,3.25,72%
1025,2.75,72%
1026,3,72%
1027,3.25,72%
1028,3.75,70%
1029,3.5,70%
1030,3.75,70%
1031,3.5,85%
1032,3.25,70%
1033,3.5,70%
1034,3.25,70%
1035,3.25,75%
1036,3.5,70%
1037,3.5,62%
1038,3.5,70%
1039,2.75,70%
1040,3.5,70%
1041,3.5,68%
1042,2.75,75%
1043,3,72%
1044,3.5,78%
1045,3,70%
1046,2.75,70%
1047,3,70%
1048,3.25,75%
1049,3.25,85%
1050,3.5,68%
1051,3.75,70%
1052,3.5,75%
1053,3.5,76%
1054,3.5,72%
1055,3.5,70%
1056,3.5,78%
1057,3,80%
1058,3.5,74%
1059,3,65%
1060,3,65%
1061,3.25,65%
1062,3.5,65%
1063,2.25,74%
1064,2.5,89%
1065,2.75,76%
1066,3,82%
1067,3.25,74%
1068,3,76%
1069,3.25,74%
1070,3.75,75%
1071,3.5,73%
1072,2.5,72%
1073,2.75,73%
1074,3.5,72%
1075,3,76%
1076,3,70%
1077,2.75,81%
1078,3.5,70%
1079,2.75,71%
1080,3,75%
1081,3.25,73%
1082,3.75,74%
1083,2.75,81%
1084,3,75%
1085,3.25,70%
1086,3.5,72%
1087,4,68%
1088,4,74%
1089,3.75,70%
1090,3.25,70%
1091,3.25,70%
1092,3.25,82%
1093,3.5,63%
1094,3,72%
1095,2.5,70%
1096,2.75,70%
1097,3,70%
1098,3,70%
1099,3.5,70%
1100,2.5,80%
1101,2.5,72%
1102,2.75,80%
1103,3,70%
1104,3.25,80%
1105,3.5,70%
1106,3.25,70%
1107,3.5,80%
1108,3,70%
1109,3.5,72%
1110,3.5,70%
1111,3.75,66%
1112,3.5,66%
1113,3.5,67%
1114,2,60%
1115,2,85%
1116,3,70%
1117,4,67%
1118,4,65%
1119,4,64%
1120,2,99%
1121,3.5,80%
1122,3.5,70%
1123,3.75,75%
1124,3.75,75%
1125,3.25,75%
1126,3.5,70%
1127,2.5,75%
1128,3.25,80%
1129,1.5,65%
1130,2,75%
1131,2.5,70%
1132,2.5,70%
1133,3.5,70%
1134,2.75,67%
1135,2.75,77%
1136,3.5,70%
1137,3.75,75%
1138,3.5,70%
1139,2.5,65%
1140,3.25,73%
1141,3,72%
1142,2.75,67%
1143,3,70%
1144,2.75,70%
1145,3.25,70%
1146,2.75,70%
1147,2.75,70%
1148,3.25,70%
1149,3.5,72%
1150,3.25,70%
1151,3.25,70%
1152,3.5,63%
1153,3.5,85%
1154,3.5,70%
1155,3.5,80%
1156,2.75,68%
1157,2.75,71%
1158,2.75,68%
1159,3,80%
1160,2.5,58%
1161,3,70%
1162,3.75,70%
1163,3.75,78%
1164,2.5,71%
1165,3.25,70%
1166,2.75,75%
1167,3,70%
1168,3.5,85%
1169,2.25,72%
1170,2.5,70%
1171,2.5,73.5%
1172,3.5,70%
1173,2.5,70%
1174,3.75,67%
1175,1,73%
1176,2,73%
1177,2.75,75%
1178,3,71%
1179,2.25,72%
1180,2.75,72%
1181,3,72%
1182,3,72%
1183,2.75,75%
1184,3.5,75%
1185,3,75%
1186,3,75%
1187,3.25,75%
1188,3,70%
1189,3,70%
1190,3,70%
1191,2.75,75%
1192,3.25,80%
1193,3.75,70%
1194,2.75,70%
1195,3,70%
1196,3.5,70%
1197,3.75,70%
1198,3.5,70%
1199,2.5,70%
1200,3.75,70%
1201,3.75,70%
1202,3.75,70%
1203,4,75%
1204,2.75,100%
1205,3.5,70%
1206,2.75,66%
1207,3,70%
1208,3.25,88%
1209,3.5,74%
1210,2.75,70%
1211,3,70%
1212,3.5,70%
1213,3,72%
1214,3,72%
1215,2.75,67%
1216,3,75%
1217,2,76%
1218,2.75,76%
1219,2.75,85%
1220,3,85%
1221,2.75,80%
1222,3.75,70%
1223,3,70%
1224,3.5,66%
1225,2.75,74%
1226,2.75,72%
1227,2.75,72%
1228,3,72%
1229,3,72%
1230,2.75,68%
1231,3.25,80%
1232,3.75,66%
1233,3,70%
1234,3,75%
1235,3.25,68%
1236,3,60%
1237,3,60%
1238,3,65%
1239,3,72%
1240,4,70%
1241,3.25,70%
1242,3.5,70%
1243,3.75,70%
1244,4,70%
1245,2.75,85%
1246,4,70%
1247,3.5,70%
1248,2.5,60%
1249,2.75,65%
1250,3,72%
1251,2,100%
1252,3.5,70%
1253,2.75,70%
1254,3,72%
1255,3.25,70%
1256,3.25,70%
1257,3.5,72%
1258,3.75,72%
1259,2.75,72%
1260,3.75,78%
1261,2.75,75%
1262,3.5,75%
1263,3.75,70%
1264,3,76%
1265,3.5,65%
1266,3.25,70%
1267,3.5,70%
1268,3,70%
1269,3.5,70%
1270,2.5,55%
1271,2.75,70%
1272,3.75,70%
1273,4,75%
1274,3.5,67%
1275,3.5,70%
1276,4,70%
1277,4,67%
1278,2.25,73%
1279,2.75,64%
1280,3,82%
1281,3.25,70%
1282,3,75%
1283,3.25,75%
1284,3.75,78%
1285,3,85%
1286,3,72%
1287,3,72%
1288,4,70%
1289,3.75,72%
1290,4,72%
1291,3.5,85%
1292,4,72%
1293,3,72%
1294,4,72%
1295,2.5,80%
1296,2.5,62%
1297,2.75,80%
1298,2.75,80%
1299,2.75,80%
1300,3.25,80%
1301,3.25,73%
1302,2.5,73%
1303,3.25,73%
1304,3.5,73%
1305,2.5,76%
1306,2.75,82%
1307,3.75,70%
1308,3.75,70%
1309,3.5,70%
1310,3,70%
1311,2.75,70%
1312,3.5,70%
1313,3.75,82%
1314,3.25,75%
1315,3.25,75%
1316,3.5,75%
1317,2,75%
1318,3,75%
1319,3,100%
1320,2,75%
1321,3.5,75%
1322,4,75%
1323,3,75%
1324,3.5,75%
1325,3.5,75%
1326,3.5,75%
1327,3.75,75%
1328,3.5,75%
1329,3.5,75%
1330,4,75%
1331,3,75%
1332,3,75%
1333,3.25,75%
1334,3.5,75%
1335,4,80%
1336,3,75%
1337,3,75%
1338,3.5,75%
1339,3.5,77%
1340,3.5,70%
1341,3.5,74%
1342,2.75,80%
1343,2.75,75%
1344,3,75%
1345,3.25,72%
1346,2.75,85%
1347,2.75,73%
1348,3.25,75%
1349,3.5,85%
1350,2.75,55%
1351,3.25,80%
1352,3,60%
1353,3.25,65%
1354,2.75,70%
1355,3,74%
1356,3,70%
1357,2.75,75%
1358,3.25,75%
1359,3.5,85%
1360,2.75,70%
1361,3,75%
1362,2.5,70%
1363,3.25,80%
1364,3.5,73%
1365,3.25,75%
1366,2.5,70%
1367,3.25,75%
1368,2.5,75%
1369,3,75%
1370,3.5,67%
1371,3.75,75%
1372,3.75,75%
1373,3.5,85%
1374,3.5,70%
1375,3.75,75%
1376,3,75%
1377,4,75%
1378,3.25,75%
1379,3.5,75%
1380,3.5,75%
1381,3.25,70%
1382,3.25,70%
1383,3.25,70%
1384,3.25,75%
1385,3.25,68%
1386,3.5,66%
1387,3.75,75%
1388,3.75,70%
1389,3.25,75%
1390,3.75,80%
1391,3.5,70%
1392,3.5,70%
1393,4,75%
1394,3.75,75%
1395,3.75,75%
1396,3,75%
1397,3.75,75%
1398,3.5,70%
1399,2.75,70%
1400,2.75,70%
1401,2.75,70%
1402,3,70%
1403,2.5,84%
1404,2.25,76%
1405,2.5,72%
1406,3.5,73%
1407,2.5,71%
1408,3.5,70%
1409,2.75,77%
1410,3.5,64%
1411,1.5,100%
1412,3,70%
1413,3.5,72%
1414,3.5,72%
1415,2.75,83%
1416,3.25,69%
1417,3.5,70%
1418,3.5,70%
1419,3.5,70%
1420,3.5,70%
1421,2.75,75%
1422,3,70%
1423,2,53%
1424,3,65%
1425,4,70%
1426,2.75,70%
1427,4,78%
1428,3.75,68%
1429,3.5,68%
1430,3.75,65%
1431,3.75,68%
1432,4,65%
1433,3.75,72%
1434,3,72%
1435,3,72%
1436,3,62%
1437,3.75,75%
1438,3,75%
1439,2,82%
1440,3.5,70%
1441,2,68%
1442,2,70%
1443,3,62%
1444,2.75,70%
1445,2.75,70%
1446,3.25,72%
1447,3.5,73%
1448,2.75,77%
1449,3.5,74%
1450,3,75%
1451,3.25,72%
1452,2,73%
1453,2.5,73%
1454,3.25,70%
1455,3.5,75%
1456,3.25,82%
1457,3.5,70%
1458,2.5,70%
1459,3,67%
1460,3.25,65%
1461,3.25,60%
1462,3,68%
1463,3.5,73%
1464,3.5,73%
1465,3.75,73%
1466,3,100%
1467,3,100%
1468,3,73%
1469,3.25,73%
1470,3.25,73%
1471,3.75,67%
1472,3.75,73%
1473,3.75,73%
1474,2.75,70%
1475,3,72%
1476,3.5,70%
1477,3.75,70%
1478,4,70%
1479,3.75,70%
1480,3,70%
1481,3.75,67%
1482,3.25,70%
1483,3.25,65%
1484,3.5,70%
1485,3.75,67%
1486,3.75,70%
1487,4,72%
1488,2.75,72%
1489,3.5,65%
1490,3,67%
1491,3.75,70%
1492,1.5,67%
1493,3,68%
1494,3.25,68%
1495,3.5,70%
1496,3,72%
1497,2.75,68%
1498,2.75,85%
1499,3.25,70%
1500,3.25,75%
1501,3,70%
1502,3,70%
1503,3,70%
1504,3.25,70%
1505,3.25,70%
1506,3.5,70%
1507,3.5,62%
1508,3.5,70%
1509,3.5,70%
1510,3.75,75%
1511,3.75,70%
1512,4,70%
1513,3.25,70%
1514,3.5,70%
1515,4,75%
1516,3.5,70%
1517,3.75,70%
1518,3.25,70%
1519,3.5,80%
1520,3.75,70%
1521,3.25,70%
1522,3.75,77%
1523,3.25,70%
1524,2.75,70%
1525,3.75,70%
1526,3.25,70%
1527,3.75,70%
1528,4,88%
1529,4,70%
1530,4,67%
1531,3.25,70%
1532,4,70%
1533,3.25,70%
1534,3.75,70%
1535,4,70%
1536,4,70%
1537,3.5,70%
1538,3.75,70%
1539,3.5,70%
1540,3.5,85%
1541,2.75,70%
1542,3.5,70%
1543,4,64%
1544,4,70%
1545,3.75,70%
1546,3.5,70%
1547,3.75,70%
1548,3,70%
1549,3.5,70%
1550,3,70%
1551,3.5,70%
1552,3.75,70%
1553,3.75,70%
1554,3.25,70%
1555,3.5,70%
1556,3.25,70%
1557,3.5,70%
1558,3.5,75%
1559,3.25,75%
1560,3.25,77%
1561,3.5,80%
1562,3,70%
1563,3,80%
1564,3.25,75%
1565,3.75,70%
1566,3.5,70%
1567,2.75,70%
1568,3.5,70%
1569,3.75,70%
1570,3.75,70%
1571,2.75,72%
1572,3,70%
1573,3,70%
1574,2.25,84%
1575,3,70%
1576,3,70%
1577,3,70%
