,product_id,category,sub_category,price,stock_quantity
50,0_2288,Vêtements,T-shirts,2.06,15
51,0_498,Vêtements,T-shirts,2.64,29
52,0_796,Vêtements,T-shirts,21.15,73
53,0_1949,Vêtements,T-shirts,3.99,89
54,0_1849,Vêtements,T-shirts,12.99,25
55,0_686,Vêtements,T-shirts,1.32,3
56,0_794,Vêtements,T-shirts,22.44,73
57,0_445,Vêtements,T-shirts,3.99,88
58,1_255,Accessoires,Sacs à main,32.99,12
59,1_665,Accessoires,Sacs à main,32.99,90
60,0_1240,Vêtements,T-shirts,22.7,75
61,0_1530,Vêtements,T-shirts,3.24,28
62,0_570,Vêtements,T-shirts,7.16,72
63,0_2188,Vêtements,T-shirts,14.65,26
64,2_89,Montres,Montres connectées,107.99,31
65,0_1939,Vêtements,T-shirts,17.99,60
66,0_1889,Vêtements,T-shirts,4.99,74
67,1_339,Accessoires,Sacs à main,22.99,53
68,0_1142,Vêtements,T-shirts,3.42,94
69,0_2299,Vêtements,T-shirts,3.99,29
70,0_1080,Vêtements,T-shirts,2.43,71
71,0_1912,Vêtements,T-shirts,1.89,98
72,0_1247,Vêtements,T-shirts,15.99,53
73,2_225,Montres,Montres connectées,157.99,40
74,0_1192,Vêtements,T-shirts,12.52,40
75,0_2035,Vêtements,T-shirts,17.99,93
76,0_548,Vêtements,T-shirts,37.53,87
77,0_1392,Vêtements,T-shirts,6.3,16
78,1_174,Accessoires,Sacs à main,44.09,27
79,2_187,Montres,Montres connectées,157.99,9
80,1_65,Accessoires,Sacs à main,32.99,96
81,0_1446,Vêtements,T-shirts,8.09,12
82,2_46,Montres,Montres connectées,41.31,24
83,0_2017,Vêtements,T-shirts,28.99,9
84,0_1509,Vêtements,T-shirts,4.99,85
85,0_1941,Vêtements,T-shirts,13.99,95
86,1_333,Accessoires,Sacs à main,15.99,22
87,0_1984,Vêtements,T-shirts,5.7,9
88,0_1549,Vêtements,T-shirts,25.99,21
89,1_165,Accessoires,Sacs à main,17.99,11
90,0_2289,Vêtements,T-shirts,17.99,67
91,1_723,Accessoires,Sacs à main,10.99,26
92,0_2305,Vêtements,T-shirts,3.99,79
93,0_283,Vêtements,T-shirts,1.99,56
94,0_56,Vêtements,T-shirts,27.6,92
95,2_128,Montres,Montres connectées,201.74,60
96,0_872,Vêtements,T-shirts,20.63,29
97,0_1635,Vêtements,T-shirts,16.99,97
98,0_356,Vêtements,T-shirts,12.14,26
99,1_107,Accessoires,Sacs à main,10.99,86
100,0_298,Vêtements,T-shirts,2.74,95
101,0_2031,Vêtements,T-shirts,22.99,6
102,2_215,Montres,Montres connectées,49.99,28
103,0_6,Vêtements,T-shirts,12.13,75
104,2_151,Montres,Montres connectées,156.99,8
105,0_602,Vêtements,T-shirts,13.89,82
106,2_176,Montres,Montres connectées,134.57,4
107,2_103,Montres,Montres connectées,157.99,36
108,0_1265,Vêtements,T-shirts,32.99,70
109,0_26,Vêtements,T-shirts,6.86,72
110,0_845,Vêtements,T-shirts,17.99,89
111,0_1960,Vêtements,T-shirts,2.16,18
112,1_666,Accessoires,Sacs à main,9.89,2
113,1_691,Accessoires,Sacs à main,45.99,7
114,0_1595,Vêtements,T-shirts,2.99,40
115,0_14,Vêtements,T-shirts,9.41,4
116,0_687,Vêtements,T-shirts,17.99,37
117,2_172,Montres,Montres connectées,158.17,90
118,1_482,Accessoires,Sacs à main,8.98,97
119,0_568,Vêtements,T-shirts,29.76,85
120,0_381,Vêtements,T-shirts,15.99,47
121,0_39,Vêtements,T-shirts,8.99,53
122,0_1176,Vêtements,T-shirts,7.65,82
123,1_57,Accessoires,Sacs à main,11.99,12
124,0_1380,Vêtements,T-shirts,7.45,36
125,0_1827,Vêtements,T-shirts,8.99,62
126,0_471,Vêtements,T-shirts,4.99,79
127,1_456,Accessoires,Sacs à main,28.27,34
128,0_1069,Vêtements,T-shirts,7.99,45
129,0_2104,Vêtements,T-shirts,7.98,87
130,0_1671,Vêtements,T-shirts,3.99,95
131,0_1144,Vêtements,T-shirts,18.87,67
132,0_1370,Vêtements,T-shirts,11.3,46
133,0_1649,Vêtements,T-shirts,27.99,11
134,0_1056,Vêtements,T-shirts,2.46,7
135,1_244,Accessoires,Sacs à main,3.64,21
136,0_1895,Vêtements,T-shirts,3.99,83
137,2_131,Montres,Montres connectées,127.99,24
138,0_1480,Vêtements,T-shirts,4.15,29
139,0_932,Vêtements,T-shirts,7.1,94
140,0_1013,Vêtements,T-shirts,4.99,11
141,0_1236,Vêtements,T-shirts,19.79,80
142,0_749,Vêtements,T-shirts,3.99,82
143,0_2064,Vêtements,T-shirts,9.85,9
144,0_1423,Vêtements,T-shirts,2.99,97
145,0_1203,Vêtements,T-shirts,0.99,83
146,0_1833,Vêtements,T-shirts,5.99,43
147,0_556,Vêtements,T-shirts,2.06,69
148,0_831,Vêtements,T-shirts,4.99,62
149,1_50,Accessoires,Sacs à main,20.93,99
150,1_231,Accessoires,Sacs à main,33.99,54
151,0_790,Vêtements,T-shirts,10.34,97
152,0_2198,Vêtements,T-shirts,12.14,7
153,0_376,Vêtements,T-shirts,8.75,17
154,1_317,Accessoires,Sacs à main,38.99,26
155,0_1923,Vêtements,T-shirts,3.99,54
156,1_183,Accessoires,Sacs à main,24.99,18
157,1_264,Accessoires,Sacs à main,16.07,8
158,0_2052,Vêtements,T-shirts,8.87,33
159,0_61,Vêtements,T-shirts,7.99,52
160,0_1332,Vêtements,T-shirts,33.12,23
161,0_253,Vêtements,T-shirts,17.99,10
162,0_2189,Vêtements,T-shirts,2.99,67
163,0_352,Vêtements,T-shirts,12.53,22
164,0_1102,Vêtements,T-shirts,4.63,94
165,0_166,Vêtements,T-shirts,1.83,70
166,1_77,Accessoires,Sacs à main,20.99,37
167,1_284,Accessoires,Sacs à main,60.39,12
168,0_2237,Vêtements,T-shirts,2.99,26
169,0_23,Vêtements,T-shirts,10.99,48
170,1_649,Accessoires,Sacs à main,18.99,54
171,1_98,Accessoires,Sacs à main,22.59,30
172,1_205,Accessoires,Sacs à main,8.99,99
173,2_214,Montres,Montres connectées,79.04,12
174,0_1824,Vêtements,T-shirts,10.34,33
175,0_1431,Vêtements,T-shirts,10.99,32
176,0_2291,Vêtements,T-shirts,12.99,99
177,1_447,Accessoires,Sacs à main,42.99,74
178,1_279,Accessoires,Sacs à main,27.99,20
179,0_1177,Vêtements,T-shirts,4.99,69
180,0_2181,Vêtements,T-shirts,27.99,94
181,0_808,Vêtements,T-shirts,27.85,1
182,1_728,Accessoires,Sacs à main,4.06,28
183,0_1775,Vêtements,T-shirts,6.99,78
184,0_1016,Vêtements,T-shirts,35.06,96
185,0_501,Vêtements,T-shirts,12.99,45
186,0_2268,Vêtements,T-shirts,17.57,20
187,2_10,Montres,Montres connectées,60.37,39
188,0_2083,Vêtements,T-shirts,6.99,2
189,0_2056,Vêtements,T-shirts,5.13,45
190,0_992,Vêtements,T-shirts,8.58,79
191,0_1504,Vêtements,T-shirts,1.68,12
192,0_1969,Vêtements,T-shirts,19.99,75
193,1_582,Accessoires,Sacs à main,27.61,3
194,1_221,Accessoires,Sacs à main,10.99,4
195,1_477,Accessoires,Sacs à main,6.99,19
196,0_823,Vêtements,T-shirts,26.99,74
197,0_2306,Vêtements,T-shirts,23.32,87
198,0_1899,Vêtements,T-shirts,21.99,28
199,2_71,Montres,Montres connectées,88.99,56
200,0_2151,Vêtements,T-shirts,16.99,45
201,0_1093,Vêtements,T-shirts,2.99,37
202,0_152,Vêtements,T-shirts,10.83,7
203,0_2164,Vêtements,T-shirts,4.29,54
204,1_496,Accessoires,Sacs à main,70.51,11
205,1_385,Accessoires,Sacs à main,25.99,27
206,1_56,Accessoires,Sacs à main,13.98,6
207,0_86,Vêtements,T-shirts,10.32,60
208,0_1545,Vêtements,T-shirts,18.99,15
209,0_2276,Vêtements,T-shirts,18.95,9
210,0_512,Vêtements,T-shirts,15.74,12
211,0_1596,Vêtements,T-shirts,10.36,77
212,0_1227,Vêtements,T-shirts,4.99,79
213,0_112,Vêtements,T-shirts,17.71,46
214,2_78,Montres,Montres connectées,167.49,46
215,1_520,Accessoires,Sacs à main,13.35,45
216,1_698,Accessoires,Sacs à main,18.3,95
217,1_564,Accessoires,Sacs à main,62.99,84
218,0_793,Vêtements,T-shirts,9.99,3
219,0_1197,Vêtements,T-shirts,6.99,61
220,0_1772,Vêtements,T-shirts,18.48,92
221,1_374,Accessoires,Sacs à main,10.71,97
222,0_1075,Vêtements,T-shirts,10.99,22
223,0_161,Vêtements,T-shirts,8.99,9
224,0_1832,Vêtements,T-shirts,7.41,74
225,0_1934,Vêtements,T-shirts,6.35,2
226,0_1694,Vêtements,T-shirts,7.65,81
227,1_678,Accessoires,Sacs à main,5.78,96
228,0_715,Vêtements,T-shirts,17.99,67
229,0_1136,Vêtements,T-shirts,3.02,5
230,0_2117,Vêtements,T-shirts,6.99,6
231,1_318,Accessoires,Sacs à main,17.24,20
232,1_708,Accessoires,Sacs à main,23.06,29
233,0_105,Vêtements,T-shirts,7.99,68
234,0_1028,Vêtements,T-shirts,4.51,52
235,1_432,Accessoires,Sacs à main,24.2,96
236,0_1546,Vêtements,T-shirts,12.86,98
237,0_1979,Vêtements,T-shirts,20.99,76
238,0_436,Vêtements,T-shirts,30.09,4
239,0_398,Vêtements,T-shirts,4.72,61
240,0_513,Vêtements,T-shirts,11.99,56
241,2_231,Montres,Montres connectées,111.99,13
242,0_193,Vêtements,T-shirts,3.99,25
243,0_262,Vêtements,T-shirts,11.64,29
244,0_1639,Vêtements,T-shirts,6.99,76
245,2_145,Montres,Montres connectées,103.99,28
246,2_165,Montres,Montres connectées,71.99,48
247,1_49,Accessoires,Sacs à main,28.99,85
248,1_667,Accessoires,Sacs à main,29.99,28
249,0_1323,Vêtements,T-shirts,10.99,42
250,0_1808,Vêtements,T-shirts,7.75,54
251,0_306,Vêtements,T-shirts,15.55,60
252,2_1,Montres,Montres connectées,56.99,98
253,0_2199,Vêtements,T-shirts,12.99,88
254,0_1744,Vêtements,T-shirts,11.92,58
255,0_1559,Vêtements,T-shirts,9.99,95
256,0_104,Vêtements,T-shirts,9.06,37
257,0_461,Vêtements,T-shirts,16.99,69
258,1_656,Accessoires,Sacs à main,6.62,71
259,0_506,Vêtements,T-shirts,15.81,96
260,0_1315,Vêtements,T-shirts,10.99,73
261,0_1183,Vêtements,T-shirts,17.99,45
262,1_733,Accessoires,Sacs à main,31.99,32
263,0_147,Vêtements,T-shirts,2.99,5
264,0_896,Vêtements,T-shirts,7.42,96
265,0_1100,Vêtements,T-shirts,3.03,43
266,1_362,Accessoires,Sacs à main,11.25,57
267,0_1003,Vêtements,T-shirts,14.99,5
268,1_154,Accessoires,Sacs à main,33.39,60
269,0_2256,Vêtements,T-shirts,7.2,15
270,0_2024,Vêtements,T-shirts,15.56,1
271,1_478,Accessoires,Sacs à main,38.63,2
272,2_139,Montres,Montres connectées,82.99,59
273,0_2197,Vêtements,T-shirts,2.99,81
274,1_470,Accessoires,Sacs à main,5.41,88
275,0_64,Vêtements,T-shirts,4.22,93
276,0_1631,Vêtements,T-shirts,10.99,15
277,0_1148,Vêtements,T-shirts,26.77,26
278,0_131,Vêtements,T-shirts,11.99,84
279,0_1780,Vêtements,T-shirts,1.67,53
280,0_1387,Vêtements,T-shirts,10.99,92
281,0_2233,Vêtements,T-shirts,19.99,71
282,0_897,Vêtements,T-shirts,9.99,30
283,0_85,Vêtements,T-shirts,2.99,94
284,0_1804,Vêtements,T-shirts,16.95,89
285,0_2190,Vêtements,T-shirts,8.22,15
286,0_906,Vêtements,T-shirts,16.97,63
287,1_129,Accessoires,Sacs à main,18.99,29
288,0_2283,Vêtements,T-shirts,8.99,43
289,2_226,Montres,Montres connectées,65.75,63
290,1_686,Accessoires,Sacs à main,24.03,95
291,0_2060,Vêtements,T-shirts,5.48,6
292,0_2267,Vêtements,T-shirts,18.99,8
293,0_1529,Vêtements,T-shirts,3.99,41
294,0_1393,Vêtements,T-shirts,11.99,18
295,1_704,Accessoires,Sacs à main,31.63,80
296,0_1110,Vêtements,T-shirts,4.71,37
297,2_144,Montres,Montres connectées,157.42,49
298,0_1209,Vêtements,T-shirts,8.99,1
299,0_1486,Vêtements,T-shirts,4.89,54
300,0_1361,Vêtements,T-shirts,3.99,3
301,1_697,Accessoires,Sacs à main,4.99,98
302,1_503,Accessoires,Sacs à main,26.99,88
303,0_1089,Vêtements,T-shirts,3.99,59
304,0_207,Vêtements,T-shirts,11.99,13
305,1_250,Accessoires,Sacs à main,20.76,63
306,1_138,Accessoires,Sacs à main,44.67,46
307,2_146,Montres,Montres connectées,115.3,16
308,1_605,Accessoires,Sacs à main,30.99,21
309,0_1444,Vêtements,T-shirts,2.08,25
310,0_272,Vêtements,T-shirts,5.6,53
311,0_475,Vêtements,T-shirts,8.99,68
312,0_1721,Vêtements,T-shirts,28.99,90
313,0_302,Vêtements,T-shirts,12.57,58
314,0_547,Vêtements,T-shirts,8.99,37
315,1_273,Accessoires,Sacs à main,47.99,48
316,0_2071,Vêtements,T-shirts,21.99,79
317,0_1052,Vêtements,T-shirts,3.79,89
318,1_196,Accessoires,Sacs à main,33.32,22
319,0_1333,Vêtements,T-shirts,5.99,45
320,1_1,Accessoires,Sacs à main,42.99,63
321,0_87,Vêtements,T-shirts,17.99,50
322,0_1388,Vêtements,T-shirts,17.15,69
323,1_693,Accessoires,Sacs à main,50.99,21
324,0_222,Vêtements,T-shirts,19.65,35
325,1_476,Accessoires,Sacs à main,45.37,69
326,1_277,Accessoires,Sacs à main,25.99,3
327,0_2258,Vêtements,T-shirts,5.8,55
328,0_784,Vêtements,T-shirts,3.6,74
329,1_199,Accessoires,Sacs à main,22.99,86
330,0_1401,Vêtements,T-shirts,10.99,28
331,0_2249,Vêtements,T-shirts,2.99,48
332,0_847,Vêtements,T-shirts,8.99,67
333,0_1088,Vêtements,T-shirts,1.09,10
334,0_1081,Vêtements,T-shirts,11.99,34
335,1_89,Accessoires,Sacs à main,32.99,15
336,1_84,Accessoires,Sacs à main,14.04,85
337,0_1231,Vêtements,T-shirts,25.99,73
338,0_1009,Vêtements,T-shirts,14.99,1
339,0_2069,Vêtements,T-shirts,17.99,37
340,2_164,Montres,Montres connectées,52.26,50
341,0_1456,Vêtements,T-shirts,27.42,86
342,1_491,Accessoires,Sacs à main,4.99,91
343,0_1019,Vêtements,T-shirts,24.99,48
344,0_1724,Vêtements,T-shirts,2.82,31
345,1_116,Accessoires,Sacs à main,12.88,41
346,0_2150,Vêtements,T-shirts,9.8,58
347,1_114,Accessoires,Sacs à main,35.61,88
348,0_1783,Vêtements,T-shirts,25.99,39
349,1_495,Accessoires,Sacs à main,21.99,29
350,0_134,Vêtements,T-shirts,8.22,18
351,0_1199,Vêtements,T-shirts,14.99,93
352,0_1733,Vêtements,T-shirts,1.99,1
353,1_607,Accessoires,Sacs à main,26.99,45
354,1_446,Accessoires,Sacs à main,23.92,70
355,0_1864,Vêtements,T-shirts,22.76,53
356,1_24,Accessoires,Sacs à main,39.08,79
357,0_726,Vêtements,T-shirts,10.21,66
358,0_1107,Vêtements,T-shirts,2.99,28
359,2_230,Montres,Montres connectées,57.04,31
360,2_34,Montres,Montres connectées,72.42,46
361,1_257,Accessoires,Sacs à main,22.99,29
362,0_2302,Vêtements,T-shirts,24.19,2
363,0_1363,Vêtements,T-shirts,16.99,16
364,0_852,Vêtements,T-shirts,10.81,74
365,0_433,Vêtements,T-shirts,2.99,54
366,0_1298,Vêtements,T-shirts,18.32,61
367,0_2272,Vêtements,T-shirts,7.98,23
368,0_1031,Vêtements,T-shirts,6.99,59
369,1_397,Accessoires,Sacs à main,18.99,82
370,0_120,Vêtements,T-shirts,0.66,77
371,1_218,Accessoires,Sacs à main,10.72,79
372,0_1022,Vêtements,T-shirts,23.57,34
373,0_1797,Vêtements,T-shirts,15.99,2
374,1_442,Accessoires,Sacs à main,24.98,47
375,0_527,Vêtements,T-shirts,2.99,30
376,0_33,Vêtements,T-shirts,18.99,93
377,0_412,Vêtements,T-shirts,21.33,44
378,0_1590,Vêtements,T-shirts,18.93,24
379,0_1397,Vêtements,T-shirts,14.99,97
380,0_2148,Vêtements,T-shirts,7.32,73
381,2_127,Montres,Montres connectées,68.99,44
382,0_1972,Vêtements,T-shirts,12.89,60
383,1_307,Accessoires,Sacs à main,6.99,41
384,0_907,Vêtements,T-shirts,34.99,10
385,0_1523,Vêtements,T-shirts,20.99,35
386,0_1319,Vêtements,T-shirts,14.99,58
387,1_586,Accessoires,Sacs à main,61.23,31
388,0_2246,Vêtements,T-shirts,6.3,43
389,0_2292,Vêtements,T-shirts,9.87,80
390,2_45,Montres,Montres connectées,32.99,19
391,0_1239,Vêtements,T-shirts,37.99,93
392,0_2219,Vêtements,T-shirts,14.99,31
393,0_1608,Vêtements,T-shirts,12.24,17
394,2_158,Montres,Montres connectées,247.22,68
395,1_571,Accessoires,Sacs à main,31.99,14
396,0_372,Vêtements,T-shirts,10.59,86
397,0_1618,Vêtements,T-shirts,3.95,42
398,0_2228,Vêtements,T-shirts,13.06,15
399,0_769,Vêtements,T-shirts,24.99,74
400,0_1290,Vêtements,T-shirts,11.57,14
401,0_1862,Vêtements,T-shirts,12.13,61
402,0_258,Vêtements,T-shirts,7.67,41
403,0_2172,Vêtements,T-shirts,3.88,59
404,0_464,Vêtements,T-shirts,7.62,19
405,0_358,Vêtements,T-shirts,4.29,73
406,0_2162,Vêtements,T-shirts,3.03,78
407,0_520,Vêtements,T-shirts,14.52,61
408,0_278,Vêtements,T-shirts,22.61,73
409,0_1173,Vêtements,T-shirts,18.99,31
410,0_2300,Vêtements,T-shirts,17.99,64
411,1_326,Accessoires,Sacs à main,59.11,46
412,0_1053,Vêtements,T-shirts,10.99,24
413,0_1731,Vêtements,T-shirts,14.99,71
414,0_2281,Vêtements,T-shirts,14.99,38
415,0_1932,Vêtements,T-shirts,3.27,96
416,1_410,Accessoires,Sacs à main,46.87,16
417,1_219,Accessoires,Sacs à main,8.99,51
418,0_1622,Vêtements,T-shirts,8.35,94
419,0_1082,Vêtements,T-shirts,15.41,32
420,2_137,Montres,Montres connectées,83.99,50
421,0_939,Vêtements,T-shirts,18.99,9
422,2_201,Montres,Montres connectées,86.99,77
423,0_1576,Vêtements,T-shirts,2.29,32
424,0_102,Vêtements,T-shirts,11.18,79
425,0_1593,Vêtements,T-shirts,6.99,90
426,0_1647,Vêtements,T-shirts,11.99,45
427,0_1207,Vêtements,T-shirts,16.99,43
428,1_694,Accessoires,Sacs à main,19.87,39
429,0_778,Vêtements,T-shirts,2.39,28
430,0_1792,Vêtements,T-shirts,8.79,74
431,0_2204,Vêtements,T-shirts,1.62,19
432,2_0,Montres,Montres connectées,162.03,7
433,0_1267,Vêtements,T-shirts,3.99,14
434,0_718,Vêtements,T-shirts,15.83,61
435,0_1971,Vêtements,T-shirts,16.99,44
436,1_172,Accessoires,Sacs à main,26.77,62
437,0_2282,Vêtements,T-shirts,13.71,79
438,1_523,Accessoires,Sacs à main,23.99,97
439,0_245,Vêtements,T-shirts,11.99,87
440,0_829,Vêtements,T-shirts,2.99,62
441,0_1111,Vêtements,T-shirts,19.99,47
442,0_1212,Vêtements,T-shirts,6.31,58
443,0_440,Vêtements,T-shirts,13.0,60
444,0_2285,Vêtements,T-shirts,16.99,55
445,1_421,Accessoires,Sacs à main,30.99,4
446,0_2186,Vêtements,T-shirts,4.2,57
447,0_742,Vêtements,T-shirts,10.79,85
448,1_433,Accessoires,Sacs à main,18.99,83
449,1_40,Accessoires,Sacs à main,30.25,46
450,0_813,Vêtements,T-shirts,9.99,15
451,0_519,Vêtements,T-shirts,6.99,84
452,0_1124,Vêtements,T-shirts,19.41,59
453,2_192,Montres,Montres connectées,127.39,87
454,0_911,Vêtements,T-shirts,4.99,45
455,0_2270,Vêtements,T-shirts,16.58,85
456,1_499,Accessoires,Sacs à main,60.99,34
457,0_2,Vêtements,T-shirts,16.4,45
458,0_806,Vêtements,T-shirts,3.33,59
459,0_1582,Vêtements,T-shirts,24.42,70
460,0_321,Vêtements,T-shirts,13.99,87
461,0_617,Vêtements,T-shirts,17.99,67
462,0_1794,Vêtements,T-shirts,31.83,29
463,0_103,Vêtements,T-shirts,10.99,94
464,1_229,Accessoires,Sacs à main,42.99,3
465,2_112,Montres,Montres connectées,67.57,72
466,0_1798,Vêtements,T-shirts,17.34,23
467,0_1340,Vêtements,T-shirts,14.76,12
468,1_203,Accessoires,Sacs à main,48.99,48
469,0_700,Vêtements,T-shirts,18.64,53
470,0_1012,Vêtements,T-shirts,32.4,33
471,0_2163,Vêtements,T-shirts,4.99,72
472,0_1668,Vêtements,T-shirts,14.62,4
473,1_8,Accessoires,Sacs à main,21.57,47
474,0_118,Vêtements,T-shirts,1.98,1
475,0_2239,Vêtements,T-shirts,5.99,22
476,0_2222,Vêtements,T-shirts,3.33,47
477,0_929,Vêtements,T-shirts,15.99,98
478,1_241,Accessoires,Sacs à main,21.99,95
479,0_797,Vêtements,T-shirts,4.99,7
480,0_1807,Vêtements,T-shirts,14.99,30
481,1_139,Accessoires,Sacs à main,6.99,44
482,1_94,Accessoires,Sacs à main,27.11,62
483,0_985,Vêtements,T-shirts,5.99,24
484,0_495,Vêtements,T-shirts,2.99,19
485,0_249,Vêtements,T-shirts,15.99,13
486,1_85,Accessoires,Sacs à main,22.99,48
487,0_946,Vêtements,T-shirts,18.01,54
488,0_1777,Vêtements,T-shirts,18.99,92
489,2_54,Montres,Montres connectées,89.43,98
490,0_1815,Vêtements,T-shirts,8.99,99
491,1_610,Accessoires,Sacs à main,32.98,78
492,2_209,Montres,Montres connectées,69.99,10
493,0_400,Vêtements,T-shirts,9.46,36
494,1_485,Accessoires,Sacs à main,37.99,51
495,1_69,Accessoires,Sacs à main,23.99,24
496,0_1564,Vêtements,T-shirts,11.12,2
497,0_586,Vêtements,T-shirts,4.95,46
498,1_270,Accessoires,Sacs à main,31.14,53
499,1_519,Accessoires,Sacs à main,51.99,37
500,0_1571,Vêtements,T-shirts,5.99,12
501,0_388,Vêtements,T-shirts,15.62,35
502,0_571,Vêtements,T-shirts,17.99,63
503,2_212,Montres,Montres connectées,104.78,52
504,1_286,Accessoires,Sacs à main,29.44,27
505,0_1374,Vêtements,T-shirts,21.0,20
506,0_774,Vêtements,T-shirts,6.66,97
507,0_876,Vêtements,T-shirts,17.35,87
508,1_461,Accessoires,Sacs à main,12.99,12
509,2_126,Montres,Montres connectées,116.98,79
510,0_1046,Vêtements,T-shirts,10.06,97
511,0_1217,Vêtements,T-shirts,24.99,50
512,0_822,Vêtements,T-shirts,35.3,90
513,0_2137,Vêtements,T-shirts,15.99,2
514,0_1883,Vêtements,T-shirts,6.99,90
515,0_1845,Vêtements,T-shirts,6.99,22
516,0_422,Vêtements,T-shirts,5.76,9
517,0_1658,Vêtements,T-shirts,5.01,66
518,0_1573,Vêtements,T-shirts,6.99,16
519,0_1172,Vêtements,T-shirts,10.71,19
520,1_41,Accessoires,Sacs à main,11.99,15
521,0_1484,Vêtements,T-shirts,25.23,70
522,2_83,Montres,Montres connectées,130.99,60
523,1_729,Accessoires,Sacs à main,31.99,67
524,0_963,Vêtements,T-shirts,8.99,10
525,0_1878,Vêtements,T-shirts,2.27,10
526,1_548,Accessoires,Sacs à main,13.59,18
527,0_1670,Vêtements,T-shirts,23.59,88
528,0_1407,Vêtements,T-shirts,13.99,10
529,0_1982,Vêtements,T-shirts,8.99,61
530,0_1470,Vêtements,T-shirts,19.53,34
531,1_342,Accessoires,Sacs à main,49.04,14
532,1_300,Accessoires,Sacs à main,6.74,37
533,1_371,Accessoires,Sacs à main,33.99,60
534,0_408,Vêtements,T-shirts,10.42,35
535,0_1443,Vêtements,T-shirts,5.99,14
536,1_438,Accessoires,Sacs à main,5.24,15
537,0_559,Vêtements,T-shirts,3.99,55
538,0_1202,Vêtements,T-shirts,4.83,98
539,0_2108,Vêtements,T-shirts,8.82,74
540,0_1422,Vêtements,T-shirts,11.41,65
541,0_1238,Vêtements,T-shirts,14.66,61
542,1_226,Accessoires,Sacs à main,37.73,81
543,0_901,Vêtements,T-shirts,15.99,20
544,1_73,Accessoires,Sacs à main,19.99,97
545,0_1468,Vêtements,T-shirts,6.08,69
546,0_1434,Vêtements,T-shirts,8.58,84
547,1_308,Accessoires,Sacs à main,11.65,81
548,0_998,Vêtements,T-shirts,9.41,88
549,1_646,Accessoires,Sacs à main,8.38,64
550,0_888,Vêtements,T-shirts,6.48,43
551,0_1691,Vêtements,T-shirts,14.99,92
552,0_1138,Vêtements,T-shirts,2.33,53
553,0_887,Vêtements,T-shirts,13.99,22
554,0_2196,Vêtements,T-shirts,12.34,91
555,0_967,Vêtements,T-shirts,8.99,36
556,0_67,Vêtements,T-shirts,22.99,50
557,0_229,Vêtements,T-shirts,17.99,77
558,1_266,Accessoires,Sacs à main,7.98,17
559,1_285,Accessoires,Sacs à main,14.99,38
560,1_93,Accessoires,Sacs à main,22.99,2
561,0_1600,Vêtements,T-shirts,13.23,26
562,2_121,Montres,Montres connectées,170.99,79
563,1_609,Accessoires,Sacs à main,7.99,52
564,0_648,Vêtements,T-shirts,7.41,93
565,0_1256,Vêtements,T-shirts,11.03,13
566,0_1348,Vêtements,T-shirts,12.03,72
